"Job Title","Hard Skills","Annual salary","Soft skills","perspectives","Niveau d'études"
"Administrateur systèmes et réseaux","SI, SE,Firewall,VPN,VLAN,Routage , python , java ,C++,VoIP, TCP/IP, DNS, DHCP, HTTP/HTTPS, MPLS, LTE, 5G,ERP, Salesforce, Microsoft Dynamics, HubSpot, SQL, NoSQL, virtualisation, conteneurisation, SOA,IAM,monitoring","40 000€ - 65 000€","Anglais","Ingénieur systèmes réseaux , responsable informatique","Bac+2"
"Chef de projet CRM","ROI,trafic,affiliation,google analytics , google Ads, SEO tools , marketing platforms,SPSS,Excel , BUM , Win-back ,  SQL ,HTML,JAVASCRIPT ,emailing , Mailchimp,sendGrid","35 000€ - 65 000€","Marketing, anglais, esprit d’analyse et de synthèse"," Marketing digital manager","Bac+5"
"Chef de projet MOE","Architecture d'application, SOA,Microservices, Conception,  logicielle , java,python,c++,javascript , Selenium, JUnit, TestNG, Cucumber,Microsoft Office 365, Google Workspace","45 000€ - 70 000€","esprit d’analyse et de synthèse,Analyse concurrentielle"," chef de projet web, ingénieur systèmes et réseaux","Bac+5"
"Chief Data Officer","SI , SE , SQL , NoSQL , Architecture client-serveur , cloud computing , LAN , WAN , virtualisation , wireshark , Nagios , PRTG , DHCP , OSPF ,BGP , R , python,pandas,numpy,scikit-learn , SPSS , SAS , Excel , MATLAB , Power BI , statistiques ","85 000€ - 150 000€","esprit d’analyse et de conviction , communication , négociation , esprit d'équipe , planification stratégique , leardership","digital analyst","Bac+5/Bac+6"
"Data protection Officier","SE , TCP/IP , VPN , Firewalls ,BitLocker,VeraCrypt , ARX , K-anonymity , RGPD , cybersécurité","55 000€ - 80 000€","Anglais"," ingénieur systèmes réseaux , technicien systèmes et réseaux","Bac+5"
"Ingénieur développement","SE , TCP/IP , HTTP/HTTPS , SSL/TLS ,VPN, ISO ,OWASP , microservices , monolithique , architecture en couches , MVC , MVP,MVVM , JAVA,C++ , python , C# , design patterns , UML , GIT , Spring , Django , Angular , react","51 000€ - 79 000€","Anglais ,esprit d'équipe , esprit d'analyse et de synthèse , analyse des besoins clients , problem solving"," Responsable informatique, Chef de projet web","Bac+5"
"Ingénieur système et réseaux","SE, MVS , Windows server , TCP/IP ,DNS ,DHCP , Firewall , VPN , HTTPS , Architecture des SI , ITIL , ISO , JIRA , Trello , MS project , bash , powerShell , wireshark , SSL/TLS , AES , DES , SSH , BitLokcer , LUKS , PKI , HSM , MD5 , SHA-256 , ECC , RSA","51 000€ - 67 000€ ","Anglais , gestion du stress , esprit d'analyse , adaptabilité , esprit d'équipe , communication , problem solving ,gestion du temps"," responsable informatique, directeur des systèmes d’exploitation","Bac+5"
"Lead Développeur","Java, php , css , html , javascript , ASP , JEE , drupal , wordpress , scrum, kanvan, Junit, Selenium , TDD","50 000€ - 80 000€","analyse de besoin clients , leardership , communication,gestion du temps , esprit d'équipe , problem solving , adaptabilité , vision stratégique","responsable informatique, chef de projet web","Bac+5"
"Product Owner","google analytics , adobe analytics ,online marketing , scrum , kanban  ,jira, trello , ROI , Microsoft office 365","45 000€ - 68 000€","gestion du stress , esprit d’analyse et de synthèse ,communicatino , vision stratégique , esprit d'équipe ,leardership , adaptabilité , anglais"," responsable marketing digital, chef de projet web","Bac+5"
"Technicien Support Applicatif","SE , SQL ,documentation ,  ticketing , support à distance ","25 000€ - 32 000€","Patience , l'écoute , résitance au stress , communication"," technicien systèmes et réseaux , ingénieur systèmes réseaux","Bac / Bac+2"
"Responsable Sécurité des SI","Architecture des Si , Antivirus , cryptographie , serveurs sécurisés , tests d'intrusion , KPI , python , java ,agile , scrum , MEHARI , OSSTMM , OWASP , Firewall, VPN , IDS/IPS , SIEM  , windows server ,SELinux , AppArmor , Qualys , Nessus , Symantec , McAfee , CrowdStrike , GRC , DLP , IAM","77 000€ - 120 000€","esprit d’analyse et de synthèse , gestion du stress , leadership , communication , vision stratégique , adaptabilité , anglais"," Ingénieur systèmes réseaux , Directeur des systèmes d’information","Bac+5"
"Responsable des SI","Git , SVN , Architecture des SI , java , python , c++ , UML  , Lucidchart,agile , scrum , waterfall , jira, trello , ms project , SE , virtualisation ","55 000€ - 70 000€","esprit d’analyse et de synthèse, anglais ,gestion du temps, adaptabilité , leadership, communication , autonomie"," Ingénieur systèmes réseaux , Directeur des systèmes d’information","Bac+5"
"UI/UX designer","Sketch,Figma, Adobe XD ,JavaScript, marketing , photoshop, illustrator , InDesign , HTML , CSS , scrum , kanban","35 000€ - 55 000€ ","Créativité , Esprit critique, communication , adaptabilité , problem solving , collaboration","Chef de projet web , responsable marketing digital","Bac+2"
"Architecte logiciel","SE , TCP/IP, HTTP, HTTPS,SSL/TLS, OAuth, OWASP,MVC, Microservices, Singleton, Observer, Factory,Java, C#, Python,SI ","60 000€ - 96 000€","esprit d’analyse et de synthèse,Communication ,Leadership ,Adaptabilité , esprit d'équipe, Gestion du temps, Prise de décision ,anglais"," responsable informatique, chef de projet web","Bac+5"
"Chef de projet digital","marketing digital ,Agile, Scrum,Kanban, Jira, Trello, ROI , Trafic , Affiliation ","30 000€ - 65 000€","esprit d'équipe , Adaptabilité ,anglais , esprit d’analyse et de synthèse, Leadership "," Consultant digital, Marketing digital manager","Bac+5"
"Chef de projet infrastructure","PMBOK, Prince2, Microsoft Office 365, Google Workspace ,Jira, Trello, Six Sigma, Lean, ISO , virtualisation, cloud computing, routeurs, commutateurs, pare-feu, TCP/IP, DNS, DHCP , Windows Server, SE , NAS - Network Attached Storage, SAN - Storage Area Network , NFS, iSCSI , IAM","45 000€ - 65 000€","esprit d'analyse et de synthèse , communication , esprit analyse de besoin clients , adaptabilité , esprit d'équipe , problem solving , gestion du stress","Assistant appel d'offres , expert compatble","Bac+5"
"Chef de projet MOA","microservices , docker , kubernetes , serverless , SE , shell , powerShell , TCP/IP , DNS , HTTP/HTTPS,VPN,SDN, SQL ,NoSQL,java , python , javascript , SSL/TLS , IDS/IPS , Firewalls , cloud computing , AI , Machine learning , tensorFlow , pytorch , scikit-learn , git ,jenkins , ansible , cybersécurité,MQTT,CoAP,Edge computing , blockchain,Selenium , jira , hp alm , istqb , tmap , bpmn , salesforce , microsoft dynamics , hubSpot , tableau , powerBI , qlikView, PMO , microsoft office 365","42 000€ - 65 000€","esprit d'analyse et de synthèse, communication ,gestion du temps , adaptabilité , esprit d'équipe , problem solving ","chef de projet web, ingénieur systèmes et réseaux","Bac+5"
"Chief technical Officer","iso , cobit ,agile ,scrum,prince2,jira, junit,selenium, wireshark,GDPR , HIPAA , Salesforce, Microsoft Dynamics, HubSpot","70 000€ - 120 000€","leadership,communication , esprit d'équipe, prise de décision , adaptabilité ","Directeur des systèmes d’information , Chef de projet SI","Bac+5"
"Data scientist","HDFS, Apache Hadoop , SQL , NoSQL,SAS, SPSS, python , pandas, numpy, google analytics , omniture , webtrends , data visualization , machine learning , deep learning , statistiques , cloud computing ","45 000€ - 60 000€","Anglais , esprit d’analyse et de synthèse , esprit critique , problem solving , esprit d'équipe , autonomie"," assistant marketing, chief data officer","Bac+5"
"Directeur de projet","Scrum, Waterfall ,MS Project, Jira,PPM,  Microsoft office 365, Slack,UML,PMO,SI ,agile ,  google workspace","45 000€ et 70 000€","Marketing, anglais, esprit d’analyse et de synthèse, leadership, communication, gestion du temps, problem solving, adaptabilité, négociation, orientation client, prise de décision, gestion d'équipe, planification stratégique"," ingénieur systèmes réseaux , responsable informatique","Bac+5"
"Directeur des SI","SAP, Oracle, Microsoft Dynamics,Salesforce, Microsoft Dynamics ,Salesforce, Microsoft Dynamics, HubSpot,AWS, Azure, Google Cloud, virtualisation, Docker, Kubernetes, SQL,NoSQL, Cassandra.","90 000€ - 185 000€","Communication , Leadership, esprit d'équipe, Esprit analytique, Prise de décision, Orientation client, Planification stratégique, problem solving, Adaptabilité"," ingénieur systèmes réseaux , responsable informatique","Bac+5"
"Product manager","Jira, Asana, Trello, Google Analytics, Mixpanel, Sketch, Figma, InVision, Slack, Microsoft Office 365, Intercom, Zendesk,Salesforce, HubSpot,Todoist, Wunderlist, Aha!, Roadmunk, Crayon, SEMrush, UserVoice, Typeform, Scrum, Kanban, Tableau, Looker, Google Data Studio, Klipfolio, Marketo, Mailchimp,Confluence, Google Docs, MindMeister, XMind.","45 000€ - 68 000€","Marketing, anglais, esprit d'analyse et de synthèse, leadership, communication , orientation client, prise de décision stratégique, gestion du temps, travail d'équipe, problem solving, adaptabilité, influence, pensée critique."," Consultant digital, Directeur de projet","Bac+5"
"Responsable infrastructure","SE, Virtualisation, AWS, Azure, Google Cloud,routeurs, commutateurs, TCP/IP, DHCP, DNS, pare-feu, VPN, SSL/TLS, SAN, NAS , PRA/PCA, Nagios, PRTG, Prometheus, DHCP, DNS, Active Directory, Microsoft office 365, Slack, PowerShell, Bash, Ansible, Puppet, Chef, ITIL, SQL, NoSQL, smartphones, tablettes","40 000€ - 65 000€","Communication, Leadership, Gestion d'équipe, problem solving, Prise de décision, Planification stratégique, Adaptabilité, Gestion du changement, Esprit analytique","Ingénieur systèmes réseaux , Directeur des Systèmes d’Information","Bac+5"
"Responsable Helpdesk","Freshdesk, Zoho Desk, ServiceDesk Plus, LogMeIn Rescue, Bomgar, SolarWinds, SysAid, Samanage, Spiceworks, Remedyforce, Heat Service Management, ManageEngine, Kayako, HappyFox, LiveChat, Freshservice, Jitbit, Alloy Navigator, Cherwell, Giva, Deskpro","40 000€ - 55 000€","problem solving, Communication, Gestion du temps, Adaptabilité, Service client, Collaboration, Empathie, Patience, Esprit d'équipe, Priorisation, Esprit critique, Gestion du stress","comptable trésorier, trésorier","Bac+2"
"Responsable de domaine SI","Microsoft Active Directory, Virtualisation, AWS, Azure, SE, Windows Server, Docker, Kubernetes, Apache, Nginx, SQL,  ITIL, COBIT, TOGAF, Jira, Confluence, Ansible, Puppet, Chef, Jenkins, Git, SVN, Wireshark, Nagios, Elasticsearch, Logstash, Kibana, Splunk, Cisco Networking, Palo Alto Networks, McAfee, Symantec, ADFS, OAuth, SAML, LDAP, Microsoft Office 365, Citrix, ServiceNow, SAP, Salesforce, Tableau, Power BI,Hadoop, Spark,ITSM ","85 000€ - 140 000€","Marketing, anglais, esprit d’analyse et de synthèse, leadership, communication, gestion du changement, orientation client, problem solving, esprit stratégique, prise de décision, adaptabilité, gestion d'équipe"," ingénieur systèmes réseaux , directeur des systèmes d’information","Bac+5"
"Responsable informatique","Windows Server, SE, Virtualisation, Active Directory, AWS, Azure, Firewalls, VPNs, IDS/IPS, MS Project, Python, Java, C#, SQL, Ansible, Puppet, Chef, Nagios, Zabbix, Jira, ServiceNow, Microsoft office 365, Slack, Veeam, Backup Exec","85 000€ - 140 000€","Adaptabilité, Leadership, Communication, Gestion d'équipe, Prise de décision, Gestion du changement, Orientation client, problem solving, Esprit stratégique, Planification stratégique, Gestion budgétaire, Leadership, Anglais.","comptable trésorier, trésorier","Bac+5"
"Chef de projet SI","MS Project, Jira, Trello, Agile, Scrum, Waterfall, SI, SQL, Java, Python, C#, git , UML , BPMN , microsoft office 365 , google workspace","55 000€ - 70 000€","Adaptabilité, Leadership, Communication, Gestion du temps, problem solving, Esprit d'équipe, Prise de décision, Organisation, Orientation client, Gestion des priorités , Esprit critique, Négociation, Gestion du changement.","ingénieur systèmes réseaux , directeur des systèmes d’information","Bac+5"
"Chef de projet web","Trello, Asana, Jira, Scrum, Kanban, HTML, CSS, JavaScript, PHP, Python, React, Angular, Vue.js, MySQL, MongoDB, WordPress, Adobe Creative Suite, Sketch, Figma, Git, Jenkins, Travis CI, Responsive Design, Selenium, Jest, Google Analytics, SEO , Apache, Nginx","45 000€ - 70 000€","Adaptabilité, communication, gestion du temps, leadership, problem solving, esprit d'équipe, orientation client, prise de décision, planification, négociation","responsable informatique, développeur PHP","Bac+5"
"Développeur PHP","PHP, HTML, CSS, JavaScript, Laravel, Symfony, CodeIgniter, SQL, Git, Composer, PHPUnit, Jenkins, Travis CI, Apache, Nginx, WordPress, Drupal, Bootstrap, jQuery, RESTful, SOAP, OWASP, HTTPS, Xdebug, Agile, Scrum, PhpStorm","32 000€ - 45 000€","Créativité, Adaptabilité, Collaboration, Communication, problem solving, Curiosité, Gestion du temps, Esprit critique, Patience","responsable informatique, chef de projet web","Bac+4/Bac+5"
"DevOps","Ansible, Puppet, Chef, Jenkins, Travis CI, GitLab CI, Kubernetes, Docker Swarm, Terraform, CloudFormation, Git, Prometheus, Grafana, Elasticsearch, Logstash, Kibana, Splunk, Loggly, SE,  AWS, Azure, Google Cloud Platform,  Bash, Python, Ruby, Slack, Microsoft office 365, Vault, HashiCorp","47 000€ - 70 000€","Collaboration, Communication, Automatisation, Pensée Sysadmin, problem solving, Agilité, Flexibilité, Orientation Client, Adaptabilité, Esprit d'Équipe, Gestion du Changement, Apprentissage Continu"," responsable informatique, chef de projet web","Bac+5"
"Gestionnaires base de données","MySQL, PostgreSQL, Microsoft SQL Server, Oracle Database, MongoDB, Cassandra, Redis, SQL, PL/pgSQL , T-SQL , PL/SQL , NoSQL Query Language,Erwin, MySQL Workbench, Oracle SQL Developer Data Modeler","35 000€ - 45 000€","Analyse, problem solving, gestion du temps, communication, leadership, adaptabilité, collaboration, orientation client, esprit critique, prise de décision, gestion du stress.","chief data officer, responsable informatique","Bac+5"
"Head of Support","Zendesk, Freshdesk, ServiceNow, Salesforce Service Cloud, Jira , Intercom, Help Scout, Kayako, Zoho Desk, LiveChat, Slack, Microsoft office 365, Zoom, Google Meet, Trello, Asana, Confluence, Tableau, Power BI, Mixpanel, Salesforce, HubSpot","30 000€ - 50 000€","leadership, problem solving, communication , espritt d'équipe, orientation client, gestion du temps, adaptabilité, esprit d'analyse et de synthèse.","Technicien Support Applicatif , chef de projet SI","Bac+2"
"Key Account Manager","Salesforce, HubSpot CRM, Zoho CRM, Microsoft Dynamics 365, Microsoft office 365, Slack, Zoom, Skype for Business, Microsoft Power BI, Tableau, Google Analytics, Asana, Trello, MS project, Google workplace, DocuSign, Adobe Sign, Crayon, Klue, Kompyte, LinkedIn Sales Navigator, Leadfeeder, ZoomInfo, Marketo, Pardot, Medallia, Qualtrics, Intercom, Drift","28 000€ - 60 000€","négociation, communication, leadership, analyse commerciale, gestion du temps, problem solving, orientation résultats, esprit d'équipe, adaptabilité, compréhension des besoins, stratégie de vente, diplomatie.","Assistant commercial, commercial","Bac+5"
"Scrum Master","Jira, Trello, VersionOne, Targetprocess, AgileCraft, Monday.com, Slack, Microsoft office 365, Zoom, Miro, Confluence, Selenium, JUnit, TestNG, Cucumber, Git, GitHub, Bitbucket, MS project, Asana, Smartsheet, Agile Central (Rally), VersionOne, Jira, Kanbanize, LeanKit, Trello, Zoom, WebEx, Scrum, Kanban, CSM, PSM, SAFe Agilist (SA).","42 000€ - 75 000€","communication, leadership, problem solving, prise de décision, coaching, autonomie, adaptabilité, collaboration, gestion du changement, patience, écoute, orientation client"," responsable informatique, chef de projet web","Bac+5"
"Technicien systèmes et réseaux","SE, Cisco Packet Tracer, Wireshark, Virtualisation, DHCP, DNS, Firewalls, Antivirus, WDS, SCCM, Nagios, Spiceworks, Acronis, Veeam, Microsoft office 365, Slack, TeamViewer, AnyDesk.
","35 000€ - 45 000€","Esprit analytique,problem solving, communication, autonomie, esprit d'équipe, organisation, flexibilité, adaptabilité.","Technicien Support Applicatif , ingénieur systèmes réseaux","Bac+2"
"Responsable IT","Windows Server, SE, Virtualisation, AWS, Azure, Cisco, Juniper, Firewalls, Antivirus, IDS/IPS, MS project, Jira, Trello, ServiceNow, Lansweeper, SIEM, Microsoft office 365, Slack, Veeam, Backup Exec, SQL Server, Oracle, MySQL, ITIL.
","60 000€ - 90 000€","Adaptabilité, Leadership, Communication, esprit d'équipe, Prise de décision, problem solving, Esprit analytique, Anglais, Planification stratégique","Chef de projet SI , Directeur des systèmes d’information","Bac+5"
"Testeur QA","Selenium, JUnit, TestNG, Appium, Cucumber, Postman, SoapUI, Jira, TestRail, HP ALM, QTest, Zephyr, Bugzilla, Mantis, Redmine, Docker, Vagrant, Apache JMeter, LoadRunner, Camtasia, Snagit.
","38 000€ - 45 000€","Esprit analytique, Communication, Rigueur, Collaboration, problem solving, Esprit critique, Adaptabilité, Gestion du temps, Anglais, esprit équipe.","Responsable informatique, Chef de projet web","Bac+5"
"Web Analyst","Google Analytics, Adobe Analytics, Matomo, Webtrends, Mixpanel, Kissmetrics, Hotjar, Crazy Egg, Tableau, Power BI, Google Data Studio, Optimizely, Google Optimize, VWO, Bitly, Jira, Trello, SQL, Python, R.
","42 000€ - 66 000€","esprit d'Analyse et de synthèse, Anglais, Esprit critique,  Communication , Adaptabilité, Esprit d'équipe, problem solving, Gestion du temps, Curiosité","Developpeur php, Chef de Projet Web","Bac+5"
"Web designer","Adobe Creative Cloud (Photoshop, Illustrator, XD), Sketch, Figma, InVision, Zeplin, Canva, Sublime Text, Visual Studio Code, GitHub, WordPress.
","35 000€ - 50 000€","Gestion du temps, Esprit d'équipe","Chef de projet web, responsable marketing digital","Bac+2"
